Step;N 
79800 ; 10
79900 ; 23
80000 ; 17
80100 ; 17
80200 ; 9
80300 ; 16
80400 ; 19
80500 ; 11
80600 ; 17
80700 ; 10
80800 ; 23
80900 ; 14
81000 ; 12
81100 ; 10
81200 ; 23
81300 ; 22
81400 ; 13
81500 ; 9
81600 ; 18
81700 ; 14
81800 ; 30
81900 ; 13
82000 ; 15
82100 ; 13
82200 ; 14
82300 ; 17
82400 ; 15
82500 ; 25
82600 ; 16
82700 ; 27
82800 ; 13
82900 ; 38
83000 ; 26
83100 ; 9
83200 ; 10
83300 ; 25
83400 ; 9
83500 ; 16
83600 ; 31
83700 ; 28
83800 ; 33
83900 ; 21
84000 ; 18
84100 ; 9
84200 ; 15
84300 ; 15
84400 ; 16
84500 ; 31
84600 ; 14
84700 ; 14
84800 ; 14
84900 ; 26
85000 ; 17
85100 ; 12
85200 ; 17
85300 ; 13
85400 ; 11
85500 ; 15
85600 ; 17
85700 ; 18
85800 ; 18
85900 ; 24
86000 ; 7
86100 ; 16
86200 ; 32
86300 ; 13
86400 ; 20
86500 ; 14
86600 ; 19
86700 ; 10
86800 ; 17
86900 ; 21
87000 ; 15
87100 ; 25
87200 ; 13
87300 ; 21
87400 ; 15
87500 ; 10
87600 ; 8
87700 ; 21
87800 ; 16
87900 ; 21
88000 ; 14
88100 ; 15
88200 ; 21
88300 ; 14
88400 ; 14
88500 ; 23
88600 ; 14
88700 ; 11
88800 ; 20
88900 ; 22
89000 ; 7
89100 ; 13
89200 ; 29
89300 ; 17
89400 ; 17
89500 ; 21
89600 ; 13
89700 ; 16
89800 ; 38
89900 ; 32
90000 ; 24
90100 ; 10
90200 ; 16
90300 ; 33
90400 ; 20
90500 ; 14
90600 ; 29
90700 ; 9
90800 ; 23
90900 ; 24
91000 ; 28
91100 ; 14
91200 ; 28
91300 ; 8
91400 ; 22
91500 ; 8
91600 ; 20
91700 ; 13
91800 ; 20
91900 ; 15
92000 ; 24
92100 ; 21
92200 ; 10
92300 ; 20
92400 ; 18
92500 ; 12
92600 ; 14
92700 ; 8
92800 ; 20
92900 ; 10
93000 ; 25
93100 ; 19
93200 ; 16
93300 ; 15
93400 ; 15
93500 ; 26
93600 ; 32
93700 ; 5
93800 ; 17
93900 ; 27
94000 ; 13
94100 ; 13
94200 ; 14
94300 ; 16
94400 ; 14
94500 ; 15
94600 ; 26
94700 ; 8
94800 ; 18
94900 ; 13
95000 ; 22
95100 ; 30
95200 ; 16
95300 ; 15
95400 ; 12
95500 ; 16
95600 ; 16
95700 ; 27
95800 ; 12
95900 ; 19
96000 ; 20
96100 ; 21
96200 ; 19
96300 ; 32
96400 ; 13
96500 ; 14
96600 ; 18
96700 ; 17
96800 ; 15
96900 ; 16
97000 ; 12
97100 ; 13
97200 ; 21
97300 ; 11
97400 ; 15
97500 ; 12
97600 ; 21
97700 ; 9
97800 ; 14
97900 ; 7
98000 ; 37
98100 ; 23
98200 ; 11
98300 ; 16
98400 ; 17
98500 ; 21
98600 ; 29
98700 ; 31
98800 ; 32
98900 ; 15
99000 ; 13
99100 ; 13
99200 ; 31
99300 ; 20
99400 ; 14
99500 ; 5
99600 ; 19
99700 ; 19
99800 ; 13
99900 ; 14
100000 ; 11
100100 ; 14
100200 ; 13
100300 ; 8
100400 ; 14
100500 ; 17
100600 ; 14
100700 ; 19
100800 ; 25
100900 ; 23
101000 ; 24
101100 ; 6
101200 ; 12
101300 ; 22
101400 ; 16
101500 ; 17
101600 ; 20
101700 ; 19
101800 ; 17
101900 ; 22
102000 ; 12
102100 ; 14
102200 ; 11
102300 ; 12
102400 ; 12
102500 ; 28
102600 ; 13
102700 ; 21
102800 ; 24
102900 ; 24
103000 ; 14
103100 ; 10
103200 ; 10
103300 ; 12
103400 ; 13
103500 ; 17
103600 ; 18
103700 ; 19
103800 ; 12
103900 ; 9
104000 ; 15
104100 ; 15
104200 ; 14
104300 ; 23
104400 ; 15
104500 ; 10
104600 ; 32
104700 ; 15
104800 ; 12
104900 ; 24
105000 ; 32
105100 ; 16
105200 ; 15
105300 ; 18
105400 ; 17
105500 ; 25
105600 ; 23
105700 ; 15
105800 ; 16
105900 ; 16
106000 ; 14
106100 ; 26
106200 ; 9
106300 ; 14
106400 ; 14
106500 ; 11
106600 ; 13
106700 ; 15
106800 ; 21
106900 ; 18
107000 ; 18
107100 ; 28
107200 ; 21
107300 ; 16
107400 ; 19
107500 ; 15
107600 ; 10
107700 ; 7
107800 ; 16
107900 ; 11
108000 ; 18
108100 ; 14
108200 ; 25
108300 ; 19
108400 ; 15
108500 ; 11
108600 ; 8
108700 ; 22
108800 ; 26
108900 ; 12
109000 ; 14
109100 ; 13
109200 ; 12
109300 ; 12
109400 ; 25
109500 ; 10
109600 ; 15
109700 ; 15
109800 ; 26
109900 ; 24
110000 ; 21
110100 ; 14
110200 ; 13
110300 ; 15
110400 ; 13
110500 ; 24
110600 ; 18
110700 ; 17
110800 ; 29
110900 ; 9
111000 ; 15
111100 ; 21
111200 ; 10
111300 ; 19
111400 ; 27
111500 ; 11
111600 ; 26
111700 ; 15
111800 ; 18
111900 ; 13
112000 ; 11
112100 ; 15
112200 ; 14
112300 ; 19
112400 ; 13
112500 ; 29
112600 ; 9
112700 ; 27
112800 ; 14
112900 ; 39
113000 ; 24
113100 ; 20
113200 ; 14
113300 ; 13
113400 ; 13
113500 ; 21
113600 ; 26
113700 ; 15
113800 ; 18
113900 ; 16
114000 ; 16
114100 ; 11
114200 ; 25
114300 ; 11
114400 ; 10
114500 ; 19
114600 ; 20
114700 ; 14
114800 ; 28
114900 ; 12
115000 ; 7
115100 ; 17
115200 ; 14
115300 ; 12
115400 ; 16
115500 ; 12
115600 ; 9
115700 ; 9
115800 ; 31
115900 ; 31
116000 ; 23
116100 ; 28
116200 ; 22
116300 ; 30
116400 ; 13
116500 ; 12
116600 ; 17
116700 ; 26
116800 ; 12
116900 ; 19
117000 ; 18
117100 ; 15
117200 ; 21
117300 ; 27
117400 ; 8
117500 ; 26
117600 ; 15
117700 ; 4
117800 ; 17
117900 ; 30
118000 ; 20
118100 ; 26
118200 ; 20
118300 ; 13
118400 ; 25
118500 ; 17
118600 ; 14
118700 ; 10
118800 ; 15
118900 ; 10
119000 ; 13
119100 ; 27
119200 ; 18
119300 ; 17
119400 ; 13
119500 ; 16
119600 ; 37
119700 ; 10
119800 ; 12
119900 ; 34
120000 ; 18
120100 ; 14
120200 ; 8
120300 ; 15
120400 ; 13
120500 ; 7
120600 ; 13
120700 ; 17
120800 ; 12
120900 ; 26
121000 ; 13
121100 ; 11
121200 ; 10
121300 ; 17
121400 ; 10
121500 ; 24
121600 ; 17
121700 ; 20
121800 ; 13
121900 ; 15
122000 ; 13
122100 ; 17
122200 ; 13
122300 ; 23
122400 ; 8
122500 ; 28
122600 ; 23
122700 ; 16
122800 ; 14
122900 ; 17
123000 ; 19
123100 ; 10
123200 ; 9
123300 ; 14
123400 ; 16
123500 ; 17
123600 ; 22
123700 ; 14
123800 ; 19
123900 ; 20
124000 ; 21
124100 ; 17
124200 ; 15
124300 ; 21
124400 ; 12
124500 ; 20
124600 ; 24
124700 ; 28
124800 ; 12
124900 ; 12
125000 ; 21
125100 ; 17
125200 ; 15
125300 ; 16
125400 ; 19
125500 ; 18
125600 ; 16
125700 ; 19
125800 ; 25
125900 ; 10
126000 ; 15
126100 ; 16
126200 ; 18
126300 ; 6
126400 ; 21
126500 ; 15
126600 ; 9
126700 ; 14
126800 ; 16
126900 ; 13
127000 ; 12
127100 ; 13
127200 ; 16
127300 ; 13
127400 ; 22
127500 ; 18
127600 ; 19
127700 ; 7
127800 ; 8
127900 ; 15
128000 ; 19
128100 ; 16
128200 ; 22
128300 ; 22
128400 ; 12
128500 ; 20
128600 ; 15
128700 ; 22
128800 ; 11
128900 ; 20
129000 ; 12
129100 ; 15
129200 ; 24
129300 ; 31
129400 ; 20
129500 ; 41
129600 ; 19
129700 ; 18
129800 ; 9
129900 ; 16
130000 ; 11
130100 ; 22
130200 ; 13
130300 ; 11
130400 ; 6
130500 ; 18
130600 ; 15
130700 ; 19
130800 ; 25
130900 ; 13
131000 ; 11
131100 ; 11
131200 ; 14
131300 ; 27
131400 ; 7
131500 ; 18
131600 ; 16
131700 ; 35
131800 ; 25
131900 ; 11
132000 ; 17
132100 ; 24
132200 ; 16
132300 ; 13
132400 ; 25
132500 ; 22
132600 ; 16
132700 ; 26
132800 ; 12
132900 ; 25
133000 ; 15
133100 ; 11
133200 ; 7
133300 ; 26
133400 ; 19
133500 ; 23
133600 ; 34
133700 ; 6
133800 ; 16
133900 ; 14
134000 ; 17
134100 ; 16
134200 ; 33
134300 ; 32
134400 ; 8
134500 ; 16
134600 ; 18
134700 ; 25
134800 ; 22
134900 ; 18
135000 ; 16
135100 ; 18
135200 ; 20
135300 ; 19
135400 ; 21
135500 ; 23
135600 ; 19
135700 ; 25
135800 ; 18
135900 ; 13
136000 ; 23
136100 ; 12
136200 ; 29
136300 ; 22
136400 ; 38
136500 ; 23
136600 ; 31
136700 ; 17
136800 ; 18
