Step;N 
119700 ; 289
119800 ; 287
119900 ; 283
120000 ; 281
120100 ; 276
120200 ; 289
120300 ; 293
120400 ; 281
120500 ; 287
120600 ; 278
120700 ; 280
120800 ; 297
120900 ; 279
121000 ; 287
121100 ; 278
121200 ; 279
121300 ; 284
121400 ; 288
121500 ; 293
121600 ; 276
121700 ; 290
121800 ; 253
121900 ; 284
122000 ; 278
122100 ; 287
122200 ; 279
122300 ; 292
122400 ; 279
122500 ; 290
122600 ; 292
122700 ; 284
122800 ; 294
122900 ; 277
123000 ; 282
123100 ; 284
123200 ; 284
123300 ; 283
123400 ; 284
123500 ; 284
123600 ; 288
123700 ; 281
123800 ; 280
123900 ; 285
124000 ; 279
124100 ; 288
124200 ; 291
124300 ; 273
124400 ; 280
124500 ; 276
124600 ; 290
124700 ; 282
124800 ; 280
124900 ; 282
125000 ; 299
125100 ; 271
125200 ; 273
125300 ; 280
125400 ; 280
125500 ; 290
125600 ; 285
125700 ; 283
125800 ; 292
125900 ; 283
126000 ; 290
126100 ; 289
126200 ; 297
126300 ; 275
126400 ; 299
126500 ; 287
126600 ; 285
126700 ; 272
126800 ; 274
126900 ; 304
127000 ; 278
127100 ; 283
127200 ; 286
127300 ; 299
127400 ; 274
127500 ; 298
127600 ; 289
127700 ; 283
127800 ; 290
127900 ; 284
128000 ; 293
128100 ; 283
128200 ; 288
128300 ; 294
128400 ; 285
128500 ; 295
128600 ; 282
128700 ; 278
128800 ; 274
128900 ; 276
129000 ; 285
129100 ; 278
129200 ; 285
129300 ; 293
129400 ; 270
129500 ; 291
129600 ; 281
129700 ; 273
129800 ; 281
129900 ; 273
130000 ; 271
130100 ; 294
130200 ; 288
130300 ; 284
130400 ; 279
130500 ; 288
130600 ; 279
130700 ; 271
130800 ; 290
130900 ; 276
131000 ; 280
131100 ; 277
131200 ; 293
131300 ; 284
131400 ; 276
131500 ; 295
131600 ; 281
131700 ; 279
131800 ; 294
131900 ; 280
132000 ; 278
132100 ; 277
132200 ; 292
132300 ; 289
132400 ; 274
132500 ; 286
132600 ; 318
132700 ; 295
132800 ; 272
132900 ; 275
133000 ; 271
133100 ; 296
133200 ; 278
133300 ; 293
133400 ; 297
133500 ; 274
133600 ; 281
133700 ; 267
133800 ; 272
133900 ; 279
134000 ; 291
134100 ; 279
134200 ; 282
134300 ; 276
134400 ; 284
134500 ; 271
134600 ; 280
134700 ; 297
134800 ; 286
134900 ; 291
135000 ; 290
135100 ; 278
135200 ; 282
135300 ; 285
135400 ; 277
135500 ; 278
135600 ; 289
135700 ; 267
135800 ; 299
135900 ; 268
136000 ; 268
136100 ; 276
136200 ; 277
136300 ; 280
136400 ; 299
136500 ; 270
136600 ; 279
136700 ; 299
136800 ; 265
136900 ; 294
137000 ; 304
137100 ; 280
137200 ; 305
137300 ; 296
137400 ; 284
137500 ; 276
137600 ; 288
137700 ; 281
137800 ; 293
137900 ; 283
138000 ; 288
138100 ; 288
138200 ; 296
138300 ; 282
138400 ; 290
138500 ; 277
138600 ; 277
138700 ; 304
138800 ; 292
138900 ; 277
139000 ; 294
139100 ; 274
139200 ; 289
139300 ; 277
139400 ; 286
139500 ; 287
139600 ; 277
139700 ; 278
139800 ; 294
139900 ; 272
140000 ; 294
140100 ; 272
140200 ; 293
140300 ; 278
140400 ; 277
140500 ; 286
140600 ; 284
140700 ; 264
140800 ; 282
140900 ; 286
141000 ; 278
141100 ; 283
141200 ; 285
141300 ; 287
141400 ; 276
141500 ; 267
141600 ; 269
141700 ; 300
141800 ; 271
141900 ; 289
142000 ; 280
142100 ; 304
142200 ; 297
142300 ; 284
142400 ; 280
142500 ; 289
142600 ; 280
142700 ; 275
142800 ; 287
142900 ; 280
143000 ; 295
143100 ; 261
143200 ; 271
143300 ; 279
143400 ; 288
143500 ; 291
143600 ; 280
143700 ; 287
143800 ; 281
143900 ; 301
144000 ; 282
144100 ; 275
144200 ; 288
144300 ; 282
144400 ; 296
144500 ; 284
144600 ; 298
144700 ; 284
144800 ; 273
144900 ; 295
145000 ; 279
145100 ; 262
145200 ; 288
145300 ; 283
145400 ; 289
145500 ; 290
145600 ; 292
145700 ; 284
145800 ; 293
145900 ; 285
146000 ; 299
146100 ; 298
146200 ; 293
146300 ; 287
146400 ; 281
146500 ; 264
146600 ; 279
146700 ; 288
146800 ; 284
146900 ; 291
147000 ; 292
147100 ; 286
147200 ; 289
147300 ; 281
147400 ; 274
147500 ; 282
147600 ; 288
147700 ; 286
147800 ; 270
147900 ; 279
148000 ; 288
148100 ; 288
148200 ; 276
148300 ; 287
148400 ; 284
148500 ; 276
148600 ; 291
148700 ; 292
148800 ; 287
148900 ; 283
149000 ; 290
149100 ; 278
149200 ; 301
149300 ; 297
149400 ; 287
149500 ; 273
149600 ; 285
149700 ; 275
149800 ; 293
149900 ; 286
150000 ; 282
150100 ; 287
150200 ; 272
150300 ; 285
150400 ; 284
150500 ; 272
150600 ; 288
150700 ; 279
150800 ; 279
150900 ; 288
151000 ; 290
151100 ; 288
151200 ; 279
